Subject Number,duration (sec),Condition,IV1_Norm Transgression,IV2_Question Type,DV_Selection of Normal Cause? (0=no;1=yes),DV_Selection of Abnormal Cause? (0=no;1=yes),DV_CAUSAL JUDGMENT (1=only normal;2=only abnormal;3=both),Check 1a: What was used by Alex? (1=AX200;2=BY33;3=I don't know),Check 1b: What was used by Benni? (1=AX200;2=BY33;3=I don't know),Correct Answer Fertilizercheck if 1a=1 & 1b=2 (1=yes;0=no),Check 2a: Was AX200 allowed? (1=yes;2=no;3=I don't know),Check 2b: Was BY33 allowed? (1=yes;2=no;3=I don't know),Correct Answer Normcheck if 2a=1 & 2b=2 (1=yes;0=no) ,Check 3a: percentage of effects if only AX200 present,Check 3b: percentage of effects if only BY33 present,Check 3c: percentage of effects if both AX200 and BY33 present,Correct Answer MNC-Check if 3a<3c & 3b<3c (1=yes;0=no),"Correct Answer to all Checks 1, 2 & 3  (1=yes;0=no)",Gender (1=male;2=female;3=not specified),Age (years)
162,218,3,0,3,1,0,1,2,1,0,1,2,1,100,0,0,0,0,1,22
175,338,3,0,3,1,1,3,1,2,1,1,2,1,30,30,30,0,0,2,24
188,299,3,0,3,0,1,2,1,2,1,1,1,0,30,30,30,0,0,1,34
195,131,3,0,3,0,1,2,1,2,1,1,2,1,80,40,40,0,0,2,20
214,387,3,0,3,0,1,2,1,2,1,1,2,1,40,30,30,0,0,1,57
260,325,3,0,3,1,0,1,1,2,1,1,2,1,80,50,60,0,0,1,33
273,386,3,0,3,0,1,2,1,2,1,1,2,1,10,90,30,0,0,2,25
331,126,3,0,3,1,0,1,1,2,1,1,2,1,30,30,30,0,0,2,27
436,40,3,0,3,0,1,2,1,2,1,1,2,1,0,100,100,0,0,1,21
442,281,3,0,3,1,0,1,1,2,1,3,1,0,60,50,40,0,0,1,27
580,307,3,0,3,0,1,2,1,2,1,1,3,0,0,0,60,1,0,2,24
627,194,3,0,3,1,1,3,2,1,0,1,2,1,10,10,80,1,0,1,32
650,337,3,0,3,1,0,1,2,1,0,3,3,0,30,30,30,0,0,1,40
678,200,3,0,3,0,1,2,1,2,1,3,3,0,0,0,100,1,0,1,22
685,451,3,0,3,1,1,3,1,2,1,1,2,1,50,50,50,0,0,1,56
692,140,3,0,3,0,1,2,1,2,1,1,2,1,50,50,50,0,0,2,18
703,129,3,0,3,1,1,3,1,2,1,1,1,0,0,0,100,1,0,2,28
731,656,3,0,3,0,1,2,1,2,1,1,2,1,50,30,20,0,0,1,26
769,232,3,0,3,0,1,2,1,2,1,1,2,1,20,90,50,0,0,1,29
14,204,4,1,1,1,1,3,1,2,1,1,2,1,0,40,30,0,0,2,22
29,299,4,1,1,1,1,3,1,2,1,1,2,1,0,100,100,0,0,1,33
35,223,4,1,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,1,29
46,1255,4,1,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,2,53
92,121,4,1,1,1,1,3,2,1,0,1,1,0,0,0,100,1,0,1,26
96,195,4,1,1,0,1,2,1,1,0,1,2,1,10,30,50,1,0,1,21
134,302,4,1,1,0,1,2,1,2,1,1,2,1,0,100,100,0,0,2,52
172,297,4,1,1,1,1,3,1,2,1,1,3,0,0,0,90,1,0,2,38
182,146,4,1,1,1,1,3,2,1,0,1,2,1,30,30,40,1,0,2,36
237,173,4,1,1,1,0,1,1,2,1,1,2,1,100,0,50,0,0,1,23
261,152,4,1,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,2,36
271,679,4,1,1,1,1,3,1,2,1,1,2,1,30,30,30,0,0,1,31
332,130,4,1,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,32
384,352,4,1,1,1,0,1,1,2,1,1,1,0,70,20,10,0,0,1,37
397,158,4,1,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,1,28
452,271,4,1,1,1,0,1,1,2,1,1,1,0,50,50,20,0,0,2,28
456,155,4,1,1,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,23
469,219,4,1,1,1,1,3,2,1,0,1,2,1,0,60,70,1,0,1,22
480,242,4,1,1,1,0,1,1,1,0,1,2,1,0,0,80,1,0,1,26
551,233,4,1,1,1,1,3,1,2,1,1,3,0,0,0,100,1,0,2,64
602,196,4,1,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,1,42
618,188,4,1,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,26
624,147,4,1,1,0,1,2,1,2,1,3,2,0,30,50,30,0,0,2,24
700,337,4,1,1,0,1,2,1,2,1,1,2,1,10,90,50,0,0,1,30
749,192,4,1,1,1,1,3,1,2,1,1,1,0,0,0,100,1,0,2,28
758,134,4,1,1,1,0,1,3,3,0,1,2,1,50,40,30,0,0,2,49
760,270,4,1,1,0,1,2,1,2,1,1,2,1,70,20,10,0,0,2,30
787,301,4,1,1,0,1,2,2,1,0,1,2,1,30,30,40,1,0,2,58
791,437,4,1,1,0,1,2,2,1,0,1,2,1,0,0,30,1,0,2,62
800,322,4,1,1,1,0,1,2,1,0,1,2,1,100,0,100,0,0,2,61
814,199,4,1,1,0,1,2,1,2,1,1,2,1,0,80,40,0,0,2,31
853,115,4,1,1,1,1,3,1,2,1,1,1,0,30,70,50,0,0,1,30
857,300,4,1,1,0,1,2,1,2,1,1,2,1,50,50,50,0,0,2,30
17,257,5,1,2,0,1,2,1,2,1,1,1,0,0,80,90,1,0,2,41
103,266,5,1,2,0,1,2,1,2,1,1,2,1,0,100,100,0,0,2,27
145,167,5,1,2,1,0,1,1,2,1,1,2,1,100,0,50,0,0,2,20
192,146,5,1,2,1,1,3,1,2,1,3,3,0,0,0,100,1,0,2,28
196,214,5,1,2,1,1,3,1,2,1,3,3,0,0,0,100,1,0,1,19
247,467,5,1,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,24
295,159,5,1,2,0,1,2,1,2,1,1,2,1,50,50,0,0,0,1,26
323,102,5,1,2,0,1,2,1,2,1,1,2,1,50,50,50,0,0,1,25
335,288,5,1,2,1,0,1,2,1,0,1,2,1,0,0,30,1,0,2,27
349,445,5,1,2,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,30
356,208,5,1,2,1,0,1,2,1,0,1,2,1,70,30,60,0,0,1,28
362,212,5,1,2,1,1,3,2,1,0,1,2,1,0,0,100,1,0,1,25
366,366,5,1,2,0,1,2,1,2,1,1,2,1,0,100,100,0,0,1,39
423,132,5,1,2,0,1,2,1,2,1,1,2,1,50,50,50,0,0,2,32
547,206,5,1,2,0,1,2,1,2,1,3,3,0,40,80,60,0,0,2,23
554,235,5,1,2,1,1,3,1,2,1,1,2,1,30,30,30,0,0,2,44
591,447,5,1,2,1,0,1,2,1,0,1,2,1,100,0,50,0,0,2,23
605,137,5,1,2,0,1,2,1,2,1,1,1,0,0,0,100,1,0,1,31
621,510,5,1,2,0,1,2,3,2,0,3,3,0,0,0,100,1,0,1,22
641,687,5,1,2,1,0,1,2,1,0,1,2,1,100,0,50,0,0,1,24
644,223,5,1,2,0,1,2,2,1,0,1,1,0,40,40,20,0,0,1,19
660,234,5,1,2,0,1,2,1,2,1,1,3,0,0,0,80,1,0,2,28
679,392,5,1,2,1,0,1,1,2,1,1,2,1,100,0,100,0,0,2,39
690,290,5,1,2,1,1,3,1,2,1,2,1,0,0,0,100,1,0,1,31
697,321,5,1,2,0,1,2,1,2,1,1,2,1,90,70,70,0,0,1,28
739,197,5,1,2,1,1,3,3,2,0,1,2,1,40,40,20,0,0,1,28
779,225,5,1,2,0,1,2,1,2,1,1,2,1,40,30,30,0,0,1,23
808,152,5,1,2,0,1,2,1,2,1,1,2,1,80,30,40,0,0,2,23
6,286,6,1,3,1,1,3,1,2,1,1,2,1,30,30,30,0,0,2,28
22,301,6,1,3,0,1,2,2,3,0,1,1,0,20,20,20,0,0,2,32
39,160,6,1,3,1,0,1,1,2,1,1,2,1,0,100,50,0,0,2,48
75,544,6,1,3,1,0,1,1,2,1,1,2,1,0,100,20,0,0,1,22
107,139,6,1,3,0,1,2,3,3,0,3,3,0,0,0,90,1,0,2,40
141,143,6,1,3,1,1,3,2,1,0,1,1,0,0,0,100,1,0,2,24
255,265,6,1,3,1,0,1,2,1,0,1,2,1,0,0,100,1,0,1,20
287,159,6,1,3,1,1,3,2,1,0,1,2,1,0,100,100,0,0,2,33
303,204,6,1,3,0,1,2,1,2,1,1,1,0,0,0,100,1,0,1,26
321,256,6,1,3,0,1,2,2,1,0,2,1,0,10,10,90,1,0,2,43
339,468,6,1,3,1,0,1,1,2,1,2,1,0,50,50,80,1,0,1,48
359,57,6,1,3,0,1,2,1,2,1,2,1,0,40,90,60,0,0,1,24
374,151,6,1,3,1,0,1,2,1,0,1,2,1,0,0,100,1,0,1,24
378,74,6,1,3,1,0,1,3,2,0,2,1,0,40,40,50,1,0,1,24
445,278,6,1,3,0,1,2,1,2,1,1,1,0,40,50,30,0,0,2,48
483,178,6,1,3,0,1,2,1,2,1,2,1,0,50,50,0,0,0,2,39
502,153,6,1,3,0,1,2,1,2,1,1,2,1,30,70,50,0,0,2,52
516,238,6,1,3,1,0,1,1,2,1,2,3,0,70,50,50,0,0,1,22
520,237,6,1,3,1,0,1,2,1,0,1,1,0,100,0,20,0,0,1,31
558,216,6,1,3,0,1,2,1,2,1,2,1,0,0,0,90,1,0,2,31
653,202,6,1,3,1,0,1,1,2,1,1,2,1,60,20,40,0,0,2,21
693,238,6,1,3,0,1,2,1,2,1,1,1,0,40,40,100,1,0,1,46
704,100,6,1,3,1,0,1,2,1,0,2,1,0,10,20,30,1,0,2,20
725,300,6,1,3,0,1,2,1,2,1,1,1,0,0,0,100,1,0,1,31
783,207,6,1,3,1,0,1,2,1,0,1,1,0,50,40,30,0,0,2,27
804,303,6,1,3,0,1,2,1,2,1,1,2,1,20,40,40,0,0,1,24
842,292,6,1,3,1,1,3,1,2,1,1,2,1,0,50,50,0,0,1,36
868,124,6,1,3,1,0,1,1,2,1,2,1,0,20,40,40,0,0,1,29
30,389,7,2,1,0,1,2,1,2,1,1,2,1,30,30,30,0,0,2,20
58,673,7,2,1,1,1,3,1,2,1,1,2,1,100,0,50,0,0,2,21
114,336,7,2,1,1,1,3,1,2,1,1,2,1,40,40,20,0,0,2,37
150,214,7,2,1,0,1,2,3,2,0,1,2,1,50,50,50,0,0,2,40
160,343,7,2,1,1,0,1,2,1,0,1,2,1,0,0,60,1,0,1,25
173,273,7,2,1,1,0,1,1,2,1,2,1,0,30,60,30,0,0,1,28
179,270,7,2,1,0,1,2,1,2,1,1,2,1,30,60,10,0,0,2,26
241,188,7,2,1,1,1,3,1,2,1,1,2,1,30,30,30,0,0,1,18
244,144,7,2,1,0,1,2,1,3,0,1,1,0,60,50,60,0,0,1,33
259,178,7,2,1,1,1,3,1,2,1,1,2,1,30,30,30,0,0,1,44
333,328,7,2,1,0,1,2,1,2,1,1,2,1,50,50,0,0,0,1,48
375,363,7,2,1,1,1,3,1,2,1,1,1,0,30,30,40,1,0,1,25
406,271,7,2,1,0,1,2,1,2,1,1,1,0,0,0,100,1,0,1,18
409,178,7,2,1,0,1,2,3,3,0,1,2,1,50,50,50,0,0,2,33
420,204,7,2,1,1,1,3,1,2,1,1,2,1,50,50,50,0,0,1,27
438,136,7,2,1,1,0,1,1,2,1,1,2,1,50,50,50,0,0,1,24
486,173,7,2,1,1,0,1,1,2,1,1,2,1,30,60,40,0,0,2,25
648,192,7,2,1,1,1,3,2,3,0,1,2,1,0,0,100,1,0,2,32
736,185,7,2,1,1,1,3,1,2,1,1,2,1,30,30,30,0,0,1,19
801,143,7,2,1,0,1,2,2,1,0,1,2,1,0,0,100,1,0,2,29
818,203,7,2,1,1,1,3,1,2,1,1,2,1,50,50,0,0,0,1,29
824,213,7,2,1,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,23
850,243,7,2,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,35
862,134,7,2,1,1,0,1,2,1,0,1,2,1,0,0,50,1,0,2,25
32,264,8,2,2,1,0,1,1,2,1,1,1,0,60,40,80,1,0,1,27
43,291,8,2,2,0,1,2,1,2,1,1,2,1,50,50,30,0,0,1,29
80,176,8,2,2,0,1,2,1,2,1,1,2,1,70,50,30,0,0,1,40
93,189,8,2,2,1,1,3,1,2,1,1,2,1,100,50,50,0,0,2,23
111,250,8,2,2,0,1,2,1,2,1,1,2,1,20,40,30,0,0,2,27
142,117,8,2,2,0,1,2,1,2,1,1,2,1,50,50,50,0,0,2,37
169,351,8,2,2,0,1,2,1,2,1,1,2,1,30,30,30,0,0,2,23
322,50,8,2,2,1,0,1,1,2,1,2,2,0,30,50,20,0,0,2,26
329,328,8,2,2,0,1,2,1,2,1,1,2,1,30,30,30,0,0,1,35
340,313,8,2,2,0,1,2,1,2,1,1,2,1,30,30,30,0,0,2,38
391,151,8,2,2,1,1,3,2,1,0,1,1,0,50,50,50,0,0,2,35
453,204,8,2,2,0,1,2,1,2,1,1,2,1,40,50,20,0,0,2,24
552,159,8,2,2,0,1,2,1,2,1,1,2,1,10,90,50,0,0,1,43
701,614,8,2,2,1,0,1,1,2,1,1,2,1,100,30,60,0,0,2,61
705,357,8,2,2,0,1,2,1,2,1,1,2,1,70,70,40,0,0,1,25
708,212,8,2,2,0,1,2,2,1,0,1,2,1,50,30,20,0,0,1,45
815,116,8,2,2,0,1,2,1,2,1,1,2,1,10,60,30,0,0,1,20
831,228,8,2,2,1,1,3,1,2,1,1,1,0,30,30,100,1,0,1,21
12,250,9,2,3,1,0,1,1,2,1,1,1,0,70,70,50,0,0,1,25
23,100,9,2,3,1,1,3,3,3,0,3,3,0,50,50,50,0,0,1,32
121,258,9,2,3,0,1,2,1,2,1,1,2,1,50,50,10,0,0,1,27
193,349,9,2,3,1,1,3,1,2,1,1,2,1,0,30,30,0,0,1,28
215,139,9,2,3,0,1,2,2,1,0,1,2,1,0,80,50,0,0,2,38
275,235,9,2,3,1,1,3,2,1,0,1,2,1,50,50,50,0,0,2,24
296,332,9,2,3,1,0,1,1,2,1,1,2,1,50,50,30,0,0,1,27
324,188,9,2,3,1,0,1,1,2,1,1,2,1,30,30,30,0,0,2,20
350,278,9,2,3,1,1,3,1,2,1,1,2,1,20,80,40,0,0,1,21
353,580,9,2,3,1,0,1,1,2,1,1,2,1,0,40,0,0,0,2,40
400,82,9,2,3,1,0,1,2,1,0,1,1,0,80,90,90,0,0,1,39
464,305,9,2,3,1,1,3,1,2,1,1,2,1,40,40,10,0,0,1,31
517,305,9,2,3,1,1,3,3,3,0,1,2,1,50,0,100,1,0,2,57
532,419,9,2,3,0,1,2,1,2,1,1,2,1,40,40,30,0,0,1,24
555,116,9,2,3,1,1,3,1,2,1,1,1,0,50,50,100,1,0,1,26
563,241,9,2,3,1,0,1,1,2,1,1,2,1,40,40,20,0,0,1,26
567,163,9,2,3,0,1,2,1,2,1,1,2,1,0,50,50,0,0,1,63
596,92,9,2,3,0,1,2,2,1,0,2,2,0,60,50,70,1,0,1,30
625,110,9,2,3,0,1,2,1,2,1,1,1,0,30,60,80,1,0,1,24
712,293,9,2,3,1,0,1,1,2,1,1,3,0,0,0,100,1,0,1,27
774,204,9,2,3,1,1,3,3,2,0,1,2,1,0,0,100,1,0,2,24
784,164,9,2,3,1,0,1,1,2,1,1,2,1,40,40,20,0,0,1,40
798,215,9,2,3,1,1,3,1,2,1,1,2,1,0,100,100,0,0,2,39
2,261,10,3,1,1,1,3,2,1,0,1,2,1,60,40,50,0,0,1,33
16,200,10,3,1,0,1,2,1,2,1,1,2,1,10,50,10,0,0,2,31
40,175,10,3,1,1,0,1,1,2,1,1,2,1,0,100,100,0,0,1,48
44,319,10,3,1,1,1,3,1,2,1,1,2,1,0,100,100,0,0,1,25
53,182,10,3,1,0,1,2,2,1,0,1,2,1,0,0,100,1,0,2,25
122,296,10,3,1,1,0,1,1,2,1,1,1,0,0,0,100,1,0,1,19
139,287,10,3,1,1,1,3,1,2,1,1,2,1,0,100,0,0,0,2,54
216,237,10,3,1,1,1,3,1,2,1,1,2,1,40,40,20,0,0,1,52
232,673,10,3,1,1,1,3,1,2,1,1,2,1,90,20,70,0,0,1,32
249,144,10,3,1,1,1,3,1,2,1,1,2,1,20,80,50,0,0,2,18
272,210,10,3,1,1,1,3,1,2,1,1,2,1,0,100,50,0,0,1,20
279,292,10,3,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,1,28
298,73,10,3,1,1,0,1,2,1,0,1,2,1,40,70,60,0,0,1,26
301,125,10,3,1,1,0,1,1,1,0,1,2,1,50,40,40,0,0,1,31
319,124,10,3,1,1,0,1,1,2,1,1,2,1,100,0,50,0,0,1,24
392,383,10,3,1,1,1,3,1,2,1,1,2,1,40,40,20,0,0,2,47
475,770,10,3,1,1,1,3,1,2,1,1,2,1,30,30,30,0,0,2,42
493,246,10,3,1,1,1,3,2,1,0,1,2,1,0,0,100,1,0,2,27
500,230,10,3,1,1,1,3,2,1,0,1,2,1,30,30,30,0,0,1,31
518,176,10,3,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,1,32
553,316,10,3,1,0,1,2,1,2,1,1,2,1,50,20,30,0,0,2,62
709,415,10,3,1,1,1,3,1,2,1,1,2,1,0,100,100,0,0,2,25
768,189,10,3,1,0,1,2,2,1,0,1,2,1,0,0,100,1,0,2,34
802,281,10,3,1,1,1,3,1,2,1,1,2,1,100,100,0,0,0,2,32
837,210,10,3,1,1,0,1,2,1,0,3,3,0,50,60,50,0,0,1,38
848,144,10,3,1,1,1,3,1,2,1,1,2,1,50,50,50,0,0,1,22
19,615,11,3,2,0,1,2,1,2,1,1,2,1,10,70,50,0,0,1,35
21,86,11,3,2,1,1,3,1,1,0,1,1,0,100,100,0,0,0,1,30
27,202,11,3,2,0,1,2,2,1,0,1,2,1,100,100,50,0,0,1,37
153,348,11,3,2,1,1,3,2,2,0,1,2,1,0,0,100,1,0,2,25
161,237,11,3,2,1,1,3,1,1,0,1,2,1,0,0,100,1,0,2,22
184,84,11,3,2,1,0,1,3,3,0,3,3,0,50,60,50,0,0,1,18
190,275,11,3,2,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,34
224,110,11,3,2,0,1,2,1,2,1,2,1,0,70,50,80,1,0,1,25
238,147,11,3,2,0,1,2,2,2,0,1,1,0,30,50,40,0,0,1,38
368,233,11,3,2,0,1,2,2,1,0,1,1,0,20,10,100,1,0,2,53
383,326,11,3,2,0,1,2,1,2,1,1,1,0,0,0,100,1,0,1,47
444,377,11,3,2,1,1,3,1,2,1,1,2,1,0,30,30,0,0,1,58
572,113,11,3,2,1,0,1,1,2,1,1,2,1,40,60,50,0,0,2,26
589,230,11,3,2,1,1,3,1,2,1,1,2,1,50,50,50,0,0,2,25
642,284,11,3,2,1,0,1,2,1,0,3,3,0,60,50,70,1,0,1,23
646,266,11,3,2,1,1,3,3,2,0,1,2,1,30,30,40,1,0,2,47
649,473,11,3,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,41
664,357,11,3,2,1,1,3,1,2,1,1,2,1,50,50,50,0,0,1,29
691,138,11,3,2,0,1,2,1,2,1,1,2,1,60,60,60,0,0,2,34
741,218,11,3,2,0,1,2,1,2,1,2,1,0,30,30,90,1,0,1,25
785,194,11,3,2,1,0,1,2,1,0,1,2,1,0,0,100,1,0,2,34
821,120,11,3,2,1,1,3,2,1,0,2,1,0,0,0,90,1,0,2,31
51,135,12,3,3,0,1,2,3,2,0,2,1,0,60,90,70,0,0,2,40
116,129,12,3,3,1,1,3,1,2,1,1,2,1,70,30,50,0,0,1,18
147,336,12,3,3,0,1,2,1,2,1,1,2,1,0,100,100,0,0,2,25
164,235,12,3,3,1,1,3,1,2,1,1,3,0,0,0,100,1,0,1,25
205,65,12,3,3,0,1,2,2,1,0,1,1,0,50,30,70,1,0,2,21
354,171,12,3,3,1,0,1,1,2,1,1,2,1,40,40,20,0,0,2,22
360,301,12,3,3,1,0,1,1,2,1,1,2,1,0,100,100,0,0,1,29
376,174,12,3,3,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,34
414,225,12,3,3,1,0,1,1,2,1,1,2,1,30,30,30,0,0,2,37
435,186,12,3,3,1,0,1,1,2,1,1,1,0,0,0,100,1,0,2,38
461,151,12,3,3,1,1,3,1,2,1,1,1,0,30,80,80,0,0,2,29
514,320,12,3,3,0,1,2,1,2,1,2,1,0,50,50,0,0,0,1,45
539,189,12,3,3,1,0,1,1,2,1,1,1,0,0,0,100,1,0,2,22
542,203,12,3,3,1,1,3,3,3,0,1,1,0,30,20,70,1,0,2,43
545,256,12,3,3,1,0,1,1,2,1,1,2,1,40,40,10,0,0,2,36
587,241,12,3,3,0,1,2,1,2,1,1,2,1,40,40,20,0,0,1,28
619,156,12,3,3,1,1,3,1,2,1,1,2,1,40,40,20,0,0,2,27

